positon,velocity,time
1,1,0
1.029550032325,0.970004467500706,0.03
1.05820053115049,0.94003546256092,0.06
1.08595268110905,0.910118770716356,0.09
1.11280842826889,0.880279369045923,0.12
1.13877045590477,0.85054142792137,0.15
1.16384216033131,0.820928313420418,0.18
1.18802762681841,0.791462590381637,0.21
1.2113316056077,0.762166026079392,0.24
1.23375948804823,0.733059594497268,0.27
1.25531728286911,0.704163481178505,0.3
1.276011592606,0.675497088632085,0.33
1.29584959019791,0.64707904227326,0.36
1.31483899576992,0.618927196877454,0.39
1.33298805361698,0.591058643526647,0.42
1.35030550940325,0.563489717027534,0.45
1.36680058759072,0.536236003780924,0.48
1.38248296911057,0.509312350082086,0.51
1.39736276928962,0.482732870831927,0.54
1.41145051604407,0.45651095863915,0.57
1.42475712835196,0.430659293293765,0.6
1.43729389501515,0.405189851592573,0.63
1.44907245372102,0.38011391749752,0.66
1.46010477041386,0.355442092608066,0.69
1.47040311898468,0.331184306929006,0.72
1.47998006128847,0.307349829915482,0.75
1.48884842749659,0.283947281777169,0.78
1.49702129679205,0.260984645023985,0.81
1.50451197841449,0.238469276235932,0.84
1.51133399306147,0.216407918040015,0.87
1.51750105465191,0.194806711277502,0.9
1.52302705245724,0.173671207345111,0.93
1.52792603360518,0.153006380694037,0.96
1.53221218596064,0.132816641471086,0.99
1.5358998213878,0.113105848286496,1.02
1.53900335939699,0.093877321093386,1.05
1.54153731117932,0.0751338541641171,1.08
1.54351626403206,0.0568777291491964,1.11
1.54495486617664,0.0391107282047038,1.14
1.54586781197148,0.0218341471745818,1.17
1.5462698275209,0.00504880881447703,1.2
1.5461756566812,-0.0112449239558163,1.23
1.54560004746457,-0.0270471347839062,1.26
1.54455773884117,-0.0423583406125834,1.29
1.54306344793927,-0.057179478415709,1.32
1.54113185764305,-0.0715118919537303,1.35
1.5387776045873,-0.0853573185599867,1.38
1.53601526754793,-0.0987178759686098,1.41
1.53285935622688,-0.111596049194468,1.44
1.52932430042977,-0.123994677475247,1.47
1.52542443963415,-0.135916941285407,1.5
1.52117401294622,-0.147366349431412,1.53
1.5165871494433,-0.158346726237251,1.56
1.51167785889932,-0.168862198828975,1.59
1.50646002289013,-0.178917184526561,1.62
1.5009473862754,-0.188516378351137,1.65
1.49515354905343,-0.19766474065522,1.68
1.48909195858516,-0.2063674848833,1.71
1.48277590218323,-0.214630065469775,1.74
1.47621850006211,-0.222458165880898,1.77
1.46943269864459,-0.229857686807083,1.8
1.46243126422023,-0.23683473451161,1.83
1.45522677695092,-0.243395609341405,1.86
1.44783162521865,-0.249546794405325,1.89
1.44025800031028,-0.255294944425015,1.92
1.43251789143424,-0.260646874763118,1.95
1.42462308106356,-0.265609550633346,1.98
1.41658514059989,-0.27019007649657,2.01
1.40841542635278,-0.274395685646873,2.04
1.40012507582845,-0.278233729991141,2.07
1.39172500432229,-0.281711670025566,2.1
1.383225901809,-0.284837065012119,2.13
1.37463823012448,-0.287617563357779,2.16
1.36597222043321,-0.290060893199073,2.19
1.35723787097497,-0.2921748531942,2.22
1.34844494508474,-0.293967303524762,2.25
1.33960296947933,-0.295446157108893,2.28
1.33072123280437,-0.296619371027323,2.31
1.32180878443543,-0.297494938163686,2.34
1.31287443352662,-0.298080879060159,2.37
1.30392674830025,-0.29838523398927,2.4
1.29497405557123,-0.29841605524254,2.43
1.28602444049934,-0.298181399636369,2.46
1.27708574656328,-0.297689321235387,2.49
1.26816557574958,-0.296947864293321,2.52
1.25927128895014,-0.295965056411167,2.55
1.2504100065617,-0.294748901912352,2.58
1.24158860928086,-0.293307375434312,2.61
1.23281373908808,-0.291648415735791,2.64
1.22409180041421,-0.289779919718978,2.67
1.21542896148323,-0.287709736665412,2.7
1.20683115582466,-0.285445662684473,2.73
1.19830408394934,-0.282995435373074,2.76
1.18985321518227,-0.280366728685072,2.79
1.18148378964632,-0.27756714800872,2.82
1.17320082039038,-0.274604225450401,2.85
1.16500909565607,-0.271485415322713,2.88
1.15691318127664,-0.268218089834872,2.91
1.14891742320227,-0.264809534983276,2.94
1.14102595014555,-0.261266946639945,2.97
1.13324267634151,-0.25759742683648,3
1.12557130441613,-0.253807980241034,3.03
1.11801532835766,-0.249905510825723,3.06
1.11057803658521,-0.245896818721812,3.09
1.10326251510879,-0.241788597259897,3.12
1.09607165077547,-0.237587430192255,3.15
1.08900813459611,-0.233299789094431,3.18
1.08207446514747,-0.228932030943073,3.21
1.07527295204435,-0.224490395866956,3.24
1.06860571947657,-0.219981005068058,3.27
1.06207470980594,-0.215409858909525,3.3
1.055681687218,-0.210782835167267,3.33
1.04942824142389,-0.206105687441916,3.36
1.04331579140745,-0.201384043727807,3.39
1.03734558921293,-0.196623405135604,3.42
1.03151872376882,-0.191829144765175,3.45
1.0258361247432,-0.187006506725271,3.48
1.0202985664264,-0.182160605296528,3.51
1.01490667163667,-0.177296424234316,3.54
1.00966091564463,-0.172418816207909,3.57
1.00456163011264,-0.167532502372443,3.6
0.999609007045035,-0.162642072070126,3.63
0.994803102745388,-0.157751982657136,3.66
0.990143841777169,-0.152866559452652,3.69
0.985631020924137,-0.14798999580645,3.72
0.981264313146962,-0.143126353281498,3.75
0.977043271532693,-0.138279561947999,3.78
0.972967333233776,-0.133453420785314,3.81
0.969035823393444,-0.128651598188234,3.84
0.965247959054393,-0.123877632574052,3.87
0.961602853047784,-0.119134933086939,3.9
0.958099517859687,-0.114426780396102,3.93
0.954736869472233,-0.109756327584262,3.96
0.951513731176783,-0.105126601122979,3.99
0.948428837356593,-0.100540501931409,4.02
0.945480837236494,-0.09600080651508,4.05
0.942668298597261,-0.0915101681813048,4.08
0.939989711452404,-0.0870711183279083,4.11
0.937443491685248,-0.0826860678019395,4.14
0.93502798464423,-0.0783573083251075,4.17
0.932741468694488,-0.074087013982701,4.2
0.930582158723856,-0.0698772427727972,4.23
0.928548209601525,-0.0657299382126028,4.26
0.926637719587698,-0.0616469309988159,4.29
